mean_squared_0,mean_squared_1,r_squared,chi_squared_0,chi_squared_1,average_pull_0,average_pull_1
15.397690773010254,3.9239890575408936,0.29612821340560913,1966.90185546875,0.19674921035766602,0.38170233368873596,0.4435420334339142
15.680282592773438,3.9598336219787598,0.2832100987434387,2027.10498046875,0.20277133584022522,0.38759416341781616,0.4502788782119751
14.92566967010498,3.863375425338745,0.3177056312561035,1948.951416015625,0.19495362043380737,0.3791569769382477,0.44151344895362854
14.557538032531738,3.815434217453003,0.3345339298248291,1923.4591064453125,0.1924036294221878,0.3745497763156891,0.43861645460128784
14.031262397766113,3.745832681655884,0.3585914969444275,1869.487548828125,0.18700484931468964,0.365564227104187,0.43241894245147705
12.891005516052246,3.590404748916626,0.41071581840515137,1745.307373046875,0.17458310723304749,0.35014647245407104,0.4178105294704437
12.055954933166504,3.4721686840057373,0.44888836145401,1642.503662109375,0.16429965198040009,0.3398526608943939,0.40531864762306213
12.606287002563477,3.5505332946777344,0.42373114824295044,1675.937744140625,0.16764406859874725,0.3432348966598511,0.4094231426715851
12.164711952209473,3.4877946376800537,0.4439167380332947,1633.7120361328125,0.16342023015022278,0.33592164516448975,0.4042324721813202
13.172630310058594,3.6294119358062744,0.3978419899940491,1771.5126953125,0.177204430103302,0.35047295689582825,0.4209355115890503
13.30220890045166,3.64721941947937,0.3919185996055603,1776.660888671875,0.17771939933300018,0.3513588309288025,0.42154669761657715
13.240543365478516,3.6387557983398438,0.39473748207092285,1774.675537109375,0.17752081155776978,0.35058531165122986,0.4213111102581024
13.592826843261719,3.686845064163208,0.37863361835479736,1802.3798828125,0.1802920699119568,0.3544800877571106,0.4245868921279907
13.332267761230469,3.6513378620147705,0.39054447412490845,1774.187255859375,0.17747196555137634,0.3529728055000305,0.42125314474105835
12.529623985290527,3.5397207736968994,0.42723560333251953,1662.8714599609375,0.1663370430469513,0.3386591076850891,0.40782400965690613
11.884291648864746,3.447360038757324,0.4567355513572693,1583.57470703125,0.15840499103069305,0.32752394676208496,0.39798134565353394
11.707512855529785,3.421624183654785,0.4648166298866272,1565.622802734375,0.15660926699638367,0.3244926333427429,0.39571911096572876
